iter	Passed	Remaining
0	147	73627
1	211	52699
2	269	44635
3	327	40653
4	398	39411
5	462	38084
6	521	36715
7	580	35677
8	645	35228
9	704	34506
10	761	33870
11	823	33489
12	886	33218
13	948	32915
14	1006	32537
15	1070	32381
16	1134	32238
17	1196	32048
18	1256	31817
19	1317	31620
20	1382	31541
21	1440	31303
22	1500	31111
23	1560	30953
24	1624	30872
25	1687	30771
26	1747	30615
27	1807	30469
28	1875	30455
29	1934	30307
30	1990	30120
31	2052	30014
32	2113	29912
33	2177	29845
34	2236	29715
35	2295	29591
36	2361	29552
37	2421	29435
38	2483	29352
39	2540	29221
40	2603	29144
41	2662	29034
42	2722	28929
43	2785	28871
44	2851	28831
45	2910	28723
46	2971	28643
47	3031	28545
48	3095	28491
49	3152	28369
50	3212	28286
51	3270	28178
52	3336	28137
53	3395	28045
54	3454	27952
55	3515	27871
56	3581	27834
57	3641	27753
58	3701	27669
59	3758	27563
60	3824	27526
61	3885	27452
62	3947	27383
63	4010	27320
64	4076	27280
65	4133	27180
66	4187	27065
67	4248	26989
68	4313	26943
69	4373	26865
70	4431	26774
71	4490	26695
72	4555	26647
73	4616	26575
74	4678	26511
75	4739	26439
76	4806	26404
77	4865	26325
78	4929	26267
79	4984	26169
80	5051	26128
81	5111	26056
82	5172	25989
83	5233	25917
84	5296	25859
85	5356	25787
86	5413	25697
87	5473	25627
88	5535	25562
89	5598	25505
90	5656	25420
91	5713	25339
92	5777	25284
93	5838	25215
94	5897	25142
95	5959	25078
96	6024	25029
97	6086	24968
98	6146	24895
99	6207	24829
100	6270	24771
101	6331	24703
102	6391	24633
103	6451	24565
104	6518	24523
105	6581	24464
106	6645	24407
107	6704	24335
108	6769	24283
109	6833	24228
110	6894	24162
111	6955	24095
112	7019	24040
113	7079	23971
114	7139	23900
115	7196	23823
116	7265	23783
117	7324	23712
118	7383	23638
119	7444	23575
120	7511	23526
121	7567	23445
122	7627	23379
123	7689	23317
124	7754	23264
125	7815	23199
126	7873	23125
127	7933	23056
128	7999	23007
129	8063	22948
130	8123	22881
131	8183	22815
132	8251	22769
133	8311	22701
134	8367	22622
135	8427	22554
136	8492	22502
137	8551	22432
138	8610	22363
139	8670	22294
140	8738	22248
141	8797	22179
142	8858	22115
143	8918	22049
144	8982	21992
145	9042	21923
146	9099	21850
147	9156	21778
148	9221	21722
149	9283	21660
150	9342	21593
151	9398	21517
152	9465	21467
153	9522	21395
154	9584	21333
155	9645	21269
156	9712	21219
157	9778	21165
158	9836	21095
159	9896	21029
160	9964	20980
161	10025	20916
162	10081	20844
163	10139	20773
164	10206	20722
165	10266	20656
166	10325	20589
167	10386	20525
168	10449	20466
169	10507	20396
170	10565	20328
171	10621	20255
172	10684	20195
173	10747	20136
174	10807	20071
175	10867	20006
176	10929	19945
177	10988	19877
178	11046	19809
179	11105	19742
180	11168	19683
181	11227	19617
182	11288	19555
183	11349	19491
184	11411	19431
185	11472	19366
186	11531	19302
187	11588	19232
188	11654	19178
189	11711	19107
190	11772	19045
191	11830	18978
192	11892	18917
193	11950	18849
194	12008	18783
195	12070	18721
196	12134	18664
197	12196	18603
198	12257	18540
199	12316	18474
200	12381	18417
201	12444	18358
202	12503	18293
203	12567	18235
204	12631	18176
205	12690	18111
206	12751	18048
207	12812	17986
208	12875	17927
209	12934	17861
210	12994	17798
211	13053	17733
212	13118	17675
213	13174	17607
214	13235	17544
215	13293	17478
216	13357	17420
217	13418	17357
218	13480	17296
219	13536	17227
220	13599	17168
221	13660	17106
222	13722	17045
223	13780	16980
224	13844	16920
225	13899	16851
226	13966	16796
227	14034	16743
228	14099	16684
229	14157	16619
230	14216	16555
231	14274	16489
232	14339	16432
233	14399	16368
234	14459	16305
235	14518	16240
236	14584	16184
237	14643	16120
238	14704	16057
239	14767	15998
240	14828	15936
241	14889	15873
242	14952	15814
243	15013	15751
244	15077	15692
245	15135	15627
246	15194	15563
247	15251	15497
248	15314	15437
249	15373	15373
250	15430	15307
251	15490	15244
252	15554	15185
253	15612	15120
254	15672	15058
255	15732	14994
256	15796	14935
257	15856	14873
258	15915	14809
259	15975	14746
260	16039	14687
261	16096	14621
262	16155	14558
263	16211	14492
264	16275	14433
265	16339	14373
266	16401	14313
267	16461	14250
268	16525	14191
269	16582	14126
270	16642	14062
271	16700	13999
272	16764	13939
273	16823	13876
274	16883	13814
275	16942	13750
276	17007	13691
277	17135	13683
278	17258	13670
279	17441	13704
280	17586	13706
281	17698	13681
282	17798	13647
283	17891	13607
284	17949	13540
285	18021	13484
286	18098	13432
287	18161	13369
288	18220	13303
289	18289	13243
290	18367	13191
291	18490	13171
292	18556	13110
293	18617	13045
294	18679	12980
295	18762	12930
296	18820	12863
297	18882	12799
298	18942	12733
299	19021	12680
300	19122	12642
301	19192	12583
302	19259	12521
303	19316	12454
304	19377	12388
305	19440	12325
306	19514	12268
307	19571	12200
308	19629	12133
309	19688	12067
310	19759	12008
311	19838	11954
312	19906	11893
313	19965	11826
314	20034	11766
315	20097	11702
316	20155	11635
317	20221	11573
318	20281	11507
319	20340	11441
320	20399	11375
321	20461	11311
322	20519	11244
323	20579	11179
324	20637	11112
325	20704	11050
326	20763	10984
327	20824	10920
328	20882	10853
329	20945	10790
330	21006	10725
331	21064	10659
332	21126	10595
333	21191	10532
334	21249	10466
335	21309	10401
336	21372	10337
337	21438	10275
338	21499	10210
339	21560	10145
340	21641	10090
341	21772	10058
342	21839	9996
343	21905	9933
344	21965	9868
345	22024	9802
346	22078	9734
347	22157	9678
348	22220	9613
349	22284	9550
350	22415	9515
351	22528	9472
352	22589	9406
353	22694	9359
354	22792	9309
355	22858	9246
356	22944	9190
357	23033	9136
358	23114	9078
359	23178	9013
360	23248	8951
361	23315	8888
362	23376	8822
363	23474	8770
364	23608	8731
365	23702	8677
366	23775	8616
367	23832	8548
368	23890	8481
369	23999	8432
370	24111	8383
371	24196	8325
372	24261	8260
373	24327	8195
374	24393	8131
375	24457	8065
376	24525	8001
377	24586	7935
378	24648	7869
379	24716	7805
380	24783	7740
381	24844	7674
382	24903	7607
383	24966	7541
384	25037	7478
385	25100	7413
386	25163	7347
387	25221	7280
388	25287	7215
389	25358	7152
390	25418	7086
391	25479	7019
392	25546	6955
393	25609	6889
394	25678	6825
395	25740	6760
396	25807	6695
397	25863	6628
398	25922	6561
399	25986	6496
400	26057	6433
401	26116	6366
402	26176	6300
403	26235	6234
404	26299	6169
405	26365	6104
406	26423	6037
407	26482	5971
408	26546	5906
409	26605	5840
410	26669	5775
411	26732	5709
412	26799	5645
413	26857	5578
414	26915	5512
415	26977	5447
416	27049	5383
417	27112	5318
418	27168	5252
419	27227	5186
420	27292	5121
421	27357	5056
422	27426	4992
423	27489	4927
424	27556	4862
425	27617	4797
426	27680	4732
427	27754	4668
428	27829	4605
429	27891	4540
430	27946	4474
431	28007	4408
432	28076	4344
433	28140	4279
434	28206	4214
435	28265	4149
436	28331	4084
437	28389	4018
438	28456	3954
439	28535	3891
440	28678	3836
441	28770	3775
442	28883	3716
443	28983	3655
444	29076	3593
445	29159	3530
446	29226	3465
447	29296	3400
448	29372	3336
449	29449	3272
450	29513	3206
451	29574	3140
452	29635	3074
453	29707	3009
454	29768	2944
455	29840	2879
456	29957	2818
457	30077	2758
458	30196	2697
459	30302	2634
460	30385	2570
461	30451	2504
462	30512	2438
463	30571	2371
464	30707	2311
465	30828	2249
466	30940	2186
467	31038	2122
468	31123	2057
469	31204	1991
470	31265	1925
471	31324	1858
472	31384	1791
473	31450	1725
474	31510	1658
475	31573	1591
476	31629	1525
477	31696	1458
478	31758	1392
479	31818	1325
480	31876	1259
481	31944	1192
482	32010	1126
483	32069	1060
484	32129	993
485	32193	927
486	32255	861
487	32334	795
488	32395	728
489	32461	662
490	32524	596
491	32587	529
492	32651	463
493	32712	397
494	32773	331
495	32830	264
496	32893	198
497	32951	132
498	33011	66
499	33070	0
